Year,Harvest Rate,Alsea,Beaver,Coos,Coquille,Floras,Lower.Umpqua,Middle.Umpqua,Necanicum,Nehalem,Nestucca,North.Umpqua,Salmon,Siletz,Siltcoos,Siuslaw,Sixes,South.Umpqua,Tahkenitch,Tenmile,Tillamook,Yaquina,,,,,,,,,,,,,,,,,,,,,,
1990,0.73,2870,333,8307,9589,,6215,4526,467,4289,593,1315,70,844,5844,8404,215,10867,4019,6248,296,1178,,,,,,,,,,,,,,,,,,,,,,
1991,0.64,2808,1344,6739,13283,,8675,12628,2089,18992,1717,3614,14,1139,7967,7800,97,6203,3375,8425,4381,881,,,,,,,,,,,,,,,,,,,,,,
1992,0.63,16954,1670,45195,5495,,4857,14257,359,3762,1632,4268,30,6449,1041,9605,249,1176,857,3435,476,1427,,,,,,,,,,,,,,,,,,,,,,
1993,0.4,1157,458,24887,12152,,13128,4912,853,5082,567,1510,22,345,5948,7667,422,6205,1590,9240,952,763,,,,,,,,,,,,,,,,,,,,,,
1994,0.06,881,718,15426,5446,2822,2938,2300,286,3026,283,956,97,661,1385,3361,253,1150,1123,3568,1176,2170,,,,,,,,,,,,,,,,,,,,,,
1995,0.11,496,346,11575,2285,1518,12196,3652,203,1910,1727,1453,118,353,4961,6922,87,5298,1772,5721,383,5307,,,,,,,,,,,,,,,,,,,,,,
1996,0.06,1128,1379,12902,16823,1616,8495,5411,443,561,468,1137,87,420,5007,7696,206,7489,1731,7545,780,4870,,,,,,,,,,,,,,,,,,,,,,
1997,0.09,660,546,1222,6286,530,1381,619,107,1304,253,634,18,327,2915,551,157,1030,2024,4497,480,460,,,,,,,,,,,,,,,,,,,,,,
1998,0.08,117,436,3245,2622,955,4948,1366,625,1311,220,832,93,343,3393,1109,607,3453,3062,5618,389,554,,,,,,,,,,,,,,,,,,,,,,
1999,0.07,1442,1625,5181,2868,720,2820,1880,377,3823,2534,1284,15,1300,2963,3204,60,3238,3940,6584,1969,2756,,,,,,,,,,,,,,,,,,,,,,
2000,0.04,3503,1525,4900,6514,1539,6022,4745,374,15065,1270,1747,186,3528,3995,6804,142,2689,660,8623,2269,664,,,,,,,,,,,,,,,,,,,,,,
2001,0.04,3363,1908,34995,14409,5900,12124,9313,5033,22842,4338,2744,234,1661,5317,11048,99,12366,3656,11448,2025,3739,,,,,,,,,,,,,,,,,,,,,,
2002,0.05,9551,3386,34863,8080,3444,19875,11303,2155,18067,17577,3545,572,2241,4880,58363,100,11071,3663,14591,14036,25053,,,,,,,,,,,,,,,,,,,,,,
2003,0.08,11175,6035,28001,24351,1035,17928,12054,2584,35345,11080,3111,46,8737,7204,31525,93,4714,3465,6804,14139,17917,,,,,,,,,,,,,,,,,,,,,,
2004,0.08,5688,4966,25366,24063,8093,9771,6929,2389,20365,5103,3868,1785,8890,8693,9488,438,11953,3800,7770,2752,6021,,,,,,,,,,,,,,,,,,,,,,
2005,0.04,14486,2358,17758,12298,527,19366,7925,1269,10886,715,2051,82,15174,4546,17611,109,14963,1976,8817,2078,3584,,,,,,,,,,,,,,,,,,,,,,
2006,0.08,2143,2120,12246,31062,1200,8689,5274,815,12624,2039,3261,558,5658,5926,6379,320,2441,3925,16374,9537,4616,,,,,,,,,,,,,,,,,,,,,,
2007,0.12,2439,694,1510,15873,386,4815,1803,490,15947,448,1602,67,2497,1644,4036,110,5169,4035,4497,2608,3589,,,,,,,,,,,,,,,,,,,,,,
2008,0.02,13592,1243,15185,8970,802,9207,4563,1077,17556,1882,3508,665,21055,3952,17848,44,21362,2657,17481,4927,11136,,,,,,,,,,,,,,,,,,,,,,
2009,0.07,15740,3844,29010,23963,3444,20694,16210,4115,23390,4572,8301,810,25882,5588,32911,189,17144,3201,9866,17474,12024,,,,,,,,,,,,,,,,,,,,,,
2010,0.05,10198,2181,29114,24804,11925,18438,19077,4679,33911,2049,9892,1455,6614,8082,27351,97,26298,11243,21458,15674,9041,,,,,,,,,,,,,,,,,,,,,,
2011,0.06,30146,2541,11701,59220,9805,19910,21236,2255,16300,8359,6404,3868,35206,6760,29874,355,53147,7068,7749,20479,20291,,,,,,,,,,,,,,,,,,,,,,
2012,0.18,10329,2290,11480,7209,3051,4550,2984,1100,3613,2135,3822,362,5482,4811,14568,41,14190,6921,11344,2056,7644,,,,,,,,,,,,,,,,,,,,,,
2013,0.14,10794,2343,8005,27485,2251,9060,4967,928,5278,1100,3226,1355,8907,4415,16416,659,14160,3969,7499,5119,4131,,,,,,,,,,,,,,,,,,,,,,
2014,0.14,29984,7633,45209,48442,1188,42956,16208,6659,35555,7406,4627,4279,22670,8347,45228,477,13270,4292,12955,23360,29747,,,,,,,,,,,,,,,,,,,,,,
2015,0.2,7708,415,3788,4196,1981,4656,2806,1059,3849,1286,3744,415,2770,1948,12940,210,7348,1356,2608,1681,3000,,,,,,,,,,,,,,,,,,,,,,
2016,0.09,8104,1878,5081,10433,1035,4859,1274,1029,8296,2651,1262,1158,3313,2660,10045,132,841,4807,1373,7804,4099,,,,,,,,,,,,,,,,,,,,,,
