Population,Sharpe Ratio (leave one out),CV
Alsea,14.549,1.016714464
Beaver,14.196,0.857149894
Coos,13.926,0.780184886
Coquille,13.729,0.869106035
Floras,14.128,1.094867345
Lower.Umpqua,13.925,0.789849371
Middle.Umpqua,14.206,0.79546263
Necanicum,14.254,1.038625825
Nehalem,14.281,0.849218865
Nestucca,14.277,1.269542001
North.Umpqua,14.16,0.721361407
Salmon,14.257,1.605198577
Siletz,14.566,1.277711873
Siltcoos,13.962,0.448744197
Siuslaw,14.463,0.924036022
Sixes,14.205,0.769153906
South.Umpqua,14.091,1.042288324
Tahkenitch,14.021,0.637480211
Tenmile,13.703,0.551601361
Tillamook,14.408,1.169236392
Yaquina,14.288,1.125306735
