"","vars1","pc1_loadings","pc2_loadings","pc3_loadings"
"1","CohoDataSummary$Population","0.287358276327604","-0.0536092691062043","0.0992781336939695"
"2","TotalLength_m","0.308038084874274","-0.128920295924553","-0.019925521838836"
"3","MaxElev_m","-0.235870216208712","-0.233937186666012","0.00521373268597817"
"4","MeanAnnualPrecip_mm","-0.122227279478062","-0.285694657077399","-0.201377704118284"
"5","MeanBFI","0.205279478969541","0.299229498334438","0.0403967291655863"
"6","MeanAugtemps_c","0.281923637352959","-0.193633580699199","0.069618850905744"
"7","CVAugtemps","-0.296523064838828","-0.160288943511048","-0.00423440173925391"
"8","Threshold18_p","-0.0776672337566415","0.264547945755426","0.121112959665923"
"9","Sedimentary_p","-0.25277767832352","-0.0191432823436443","0.173499848702578"
"10","MeanHFI","-0.070721837631508","0.0803262052753786","0.445211916227364"
"11","Public_p","-0.168145648343862","-0.206102947147344","0.342223772405919"
"12","Develop_p","0.254130715709214","0.071839543148932","0.0864734552908215"
"13","Agric_p","0.165175425018011","0.0697048419922983","0.271626098726319"
"14","SplashCount","0.0400728833356974","0.0634784676342597","-0.295112724753274"
"15","biomass_diff","0.0513982086393767","-0.148651576066015","-0.35966110402897"
"16","biomass_mean","-0.0227721550891132","-0.129824465676742","0.170581624724287"
"17","bvr_km","0.0522493935176114","-0.280217402194029","-0.098252330276817"
"18","mean_hat_smolts","0.0669121739860184","-0.205185642734713","-0.189692437453139"
"19","mean_per_hat_spawners","-0.189407019476107","0.0417262288264059","-0.217068443667492"
"20","high_pulse","0.201031612742449","0.133362065338223","0.0438200154028184"
"21","n_days_lt05","-0.207053272266211","0.141968973097679","0.0281463053102166"
"22","shannon","-0.0454392498402491","-0.357906923415667","0.0492934879907111"
"23","SST_apr_jun","0.116513113944175","0.316031792997353","-0.190155258057154"
"24","SST_jan_mar","-0.222653926492775","0.169192771234357","-0.0824843150969067"
"25","lake_p","0.057040865054052","-0.150701416355802","0.147585946403521"
"26","tot_est_p","-0.304024245113912","0.139467936907703","0.10036933096351"
"27","LowGradient_p","0.0670417807713276","-0.126676606822445","0.27691212928121"
"28","LogDriveLength_p","0.287358276327604","-0.0536092691062043","0.0992781336939695"
"29","p_wetland","0.308038084874274","-0.128920295924553","-0.019925521838836"
