"","year_seq","year_range","metric","value"
"1",1994,"1994-2003","CVcurrent",0.607151343548999
"2",1995,"1995-2004","CVcurrent",0.572125206772459
"3",1996,"1996-2005","CVcurrent",0.519926579567036
"4",1997,"1997-2006","CVcurrent",0.485564300360889
"5",1998,"1998-2007","CVcurrent",0.402939797436375
"6",1999,"1999-2008","CVcurrent",0.365836029529049
"7",2000,"2000-2009","CVcurrent",0.296622295177712
"8",2001,"2001-2010","CVcurrent",0.263280603839137
"9",2002,"2002-2011","CVcurrent",0.270952517204663
"10",2003,"2003-2012","CVcurrent",0.312515713946598
"11",2004,"2004-2013","CVcurrent",0.346250954374745
"12",2005,"2005-2014","CVcurrent",0.358711770826256
"13",2006,"2006-2015","CVcurrent",0.382409151374219
"14",2007,"2007-2016","CVcurrent",0.419920529829777
"15",1994,"1994-2003","CVnull",0.182375163114315
"16",1995,"1995-2004","CVnull",0.206587239864587
"17",1996,"1996-2005","CVnull",0.209024938527829
"18",1997,"1997-2006","CVnull",0.210174345557293
"19",1998,"1998-2007","CVnull",0.204296354691413
"20",1999,"1999-2008","CVnull",0.198054388756618
"21",2000,"2000-2009","CVnull",0.192159379384339
"22",2001,"2001-2010","CVnull",0.194195647726673
"23",2002,"2002-2011","CVnull",0.200286852373621
"24",2003,"2003-2012","CVnull",0.224323615814342
"25",2004,"2004-2013","CVnull",0.223118162395397
"26",2005,"2005-2014","CVnull",0.222503260900609
"27",2006,"2006-2015","CVnull",0.26343039760711
"28",2007,"2007-2016","CVnull",0.270399396424857
"29",1994,"1994-2003","Diversity_deficit",0.424776180434685
"30",1995,"1995-2004","Diversity_deficit",0.365537966907871
"31",1996,"1996-2005","Diversity_deficit",0.310901641039206
"32",1997,"1997-2006","Diversity_deficit",0.275389954803596
"33",1998,"1998-2007","Diversity_deficit",0.198643442744962
"34",1999,"1999-2008","Diversity_deficit",0.167781640772431
"35",2000,"2000-2009","Diversity_deficit",0.104462915793373
"36",2001,"2001-2010","Diversity_deficit",0.0690849561124645
"37",2002,"2002-2011","Diversity_deficit",0.0706656648310419
"38",2003,"2003-2012","Diversity_deficit",0.0881920981322565
"39",2004,"2004-2013","Diversity_deficit",0.123132791979349
"40",2005,"2005-2014","Diversity_deficit",0.136208509925647
"41",2006,"2006-2015","Diversity_deficit",0.118978753767109
"42",2007,"2007-2016","Diversity_deficit",0.14952113340492
