"","Alsea","Beaver","Coos","Coquille","Floras","Lower.Umpqua","Middle.Umpqua","Necanicum","Nehalem","Nestucca","North.Umpqua","Salmon","Siletz","Siltcoos","Siuslaw","Sixes","South.Umpqua","Tahkenitch","Tenmile","Tillamook","Yaquina"
"5",6.78219205600679,6.57786135772105,9.64387450001194,8.60282027738367,7.94555542825349,7.98582466641892,7.74109909003537,5.65948221575962,8.01532730902172,5.64897423816121,6.86380339145295,4.58496747867057,6.49526555593701,7.23417717974985,8.12029131396856,5.53733426701854,7.04838640872188,7.02464903045364,8.18004072349016,7.07072410726028,7.68294316987829
"6",6.20859002609663,5.84932477994686,9.35668926831132,7.73455884435476,7.32580750259577,9.40894529884324,8.20330402679528,5.31811999384422,7.55538194424027,7.454719949364,7.28207365809346,4.77912349311153,5.86929691313377,8.50956416425175,8.84260448067803,4.47733681447821,8.57527340249276,7.48042830607421,8.65207367361006,5.95064255258773,8.5769703954521
"7",7.02908756414966,7.22983877815125,9.46521512145185,9.73056171738254,7.38832785957711,9.04735074348172,8.59637398929068,6.09582456243222,6.33150184989369,6.15060276844628,7.03702761468628,4.47733681447821,6.04263283368238,8.51879191277993,8.94858592153432,5.33271879326537,8.92132407651127,7.45703208912238,8.92877290052426,6.66057514983969,8.49105453380654
"8",6.49375383985169,6.30444880242198,7.10906213568717,8.74623928838306,6.27476202124194,7.23128700432762,6.42971947803914,4.68213122712422,7.17395831975679,5.53733426701854,6.45362499889269,2.94443897916644,5.79301360838414,7.97796809312855,6.31354804627709,5.06259503302697,6.93828448401696,7.61332497954064,8.41138813251926,6.17586727010576,6.13339804299665
"9",4.77068462446567,6.07993319509559,8.08517874807454,7.87207397986687,6.8627579130514,8.50694081495189,7.22037383672395,6.4393503711001,7.17930796950403,5.39816270151775,6.72503364216684,4.54329478227,5.8406416573734,8.12976444579417,7.01211529430638,6.41017488196617,8.14728825870662,8.02715010683277,8.6339089911122,5.96614673912369,6.31896811374643
"10",7.27447955877387,7.39387829010776,8.55294636112206,7.96171881598136,6.58063913728495,7.944846711002,7.53955882930103,5.93489419561959,8.24905227417129,7.83794891602528,7.15851399732932,2.77258872223978,7.1708884785125,7.99429498641598,8.07246736935477,4.11087386417331,8.08301991917133,8.279189777195,8.79254961417738,7.58578882173203,7.9218984110238
"11",8.16166045205628,7.3304052118444,8.49719454490955,8.78186248955894,7.33953769540767,8.70334075304372,8.46505743699571,5.92692602597041,9.62019582838564,7.14755927118945,7.46622755621548,5.23110861685459,8.16876982367527,8.29304913976844,8.82541291508557,4.96284463025991,7.89729647259588,6.49375383985169,9.06230429314878,7.72753511047545,6.49978704065585
"12",8.12088602109284,7.55433482372575,10.4629890482262,9.57567768899357,8.68287710705717,9.40302471580568,9.13927392354232,8.52397017569526,10.0364000036559,8.37539918579835,7.91753635394363,5.45958551414416,7.41577697541539,8.57885257180297,9.31009520511317,4.60517018598809,9.42278691374206,8.20439841814938,9.34565766892381,7.61381868480863,8.22684089040858
"13",9.16450583563238,8.12769985281777,10.4592100571844,8.99727090623345,8.14467918344776,9.89726825272221,9.33291192436436,7.67600993202889,9.80189769677449,9.77440339912459,8.17357548663415,6.35088571671474,7.71512360363211,8.49310539588715,10.9744545403839,4.61512051684126,9.31217467785745,8.20631072579402,9.58822871231411,9.54945197953433,10.1287887744041
"14",9.3215239009368,8.70549681988774,10.2400312151779,10.1003692606614,6.94312242281943,9.79417479259543,9.39723479061527,7.85748078694253,10.4729405107497,9.31298720893633,8.04302088529828,3.85014760171006,9.07543660951138,8.88253050843362,10.3585678811865,4.54329478227,8.45850419506756,8.15075647027555,8.82541291508557,9.55676293945056,9.79356107315752
"15",8.64628976475065,8.51057131510735,10.1412043956998,10.0884722267496,8.99887832543581,9.18727643237763,8.84361509218395,7.77904864492556,9.92162212273161,8.53777982502463,8.26075135470051,7.48773376143644,9.09279480812114,9.07038841154874,9.15788851197376,6.08449941307517,9.3888212293842,8.24301946898925,8.95815413520924,7.92044650514261,8.70317470904168
"16",9.58100697454165,7.76599307940768,9.7846477086546,9.41727323724241,6.26909628370626,9.87132586572773,8.97790377375038,7.14677217945264,9.29532469588118,6.57368016696065,7.62657020629066,4.4188406077966,9.6274046159277,8.42222295382501,9.77633576687565,4.70048036579242,9.61340259546804,7.58933582317062,9.08455036591788,7.63964228785801,8.18451375303372
"17",7.67042852219069,7.65964295456468,9.41303628802129,10.3437726792889,7.09090982207998,9.06992821825944,8.57073395834427,6.70441435496411,9.44343425414356,7.62070508683826,8.09009578318096,6.3261494731551,8.64100247714252,8.68727346178784,8.76092337633884,5.77144112313002,7.80057265467065,8.27537637483641,9.70351106050345,9.16303909885817,8.43750042250699
"18",7.79975331828725,6.54391184556479,7.32052696227274,9.67243782965082,5.95842469302978,8.47969898698866,7.49776170062257,6.19644412779452,9.67708870850125,6.10702288774225,7.37963215260955,4.21950770517611,7.82324569068552,7.40549566319947,8.30325712085294,4.70953020131233,8.55062796750248,8.3030093814735,8.41138813251926,7.86672228513673,8.18590748148232
"19",9.51731023333525,7.12608727329912,9.62812922977318,9.10175243155928,6.68835471394676,9.12782795040172,8.42595471098197,6.98286275146894,9.77320800976921,7.54062152865715,8.16308637558322,6.50128967054039,9.95494083412504,8.28223006329669,9.78970276322951,3.80666248977032,9.96941573265024,7.88532923927319,9.76892705914043,8.50268850521336,9.3180281773931
"20",9.66402405235482,8.25452888193974,10.2754303473935,10.0843079832038,8.14467918344776,9.93764740418283,9.69344530314157,8.32263709695394,10.0601066119777,8.42792472365806,9.02425172861298,6.69826805411541,10.1613416615257,8.6285556592697,10.4015926118927,5.24702407216049,9.74946186489702,8.07153089355666,9.19695113485717,9.76852656710201,9.39474309497396
"21",9.23004495525052,7.68799716639302,10.2790087842712,10.1188005247351,9.38647616968305,9.82222326570516,9.85629111770515,8.45105338891169,10.4315242130325,7.62559507213245,9.19958271532322,7.28344822875663,8.79709507654906,8.99751836973384,10.2165449313191,4.58496747867057,10.1772861946293,9.32758993202642,9.97389941677649,9.65982236550112,9.10963566785455
"22",10.3138406947171,7.8407064517494,9.36751504634818,10.9890314877001,9.19074972221118,9.89902762181404,9.9635002224423,7.72134861261795,9.69898173460629,9.03121370607875,8.76483421433083,8.26075135470051,10.4690002054518,8.81892608709068,10.3047772892338,5.87493073085203,10.8808357537112,8.86347430617095,8.95544812234739,9.92720407915344,9.91798199868658
"23",9.24280756211368,7.7367436824535,9.34844877409381,8.88322423027899,8.02355239240435,8.42310226801664,8.0013550258267,7.00397413672268,8.19257047115217,7.66669020008009,8.24879073369641,5.89440283426485,8.60940767540405,8.47886807709457,9.586651262654,3.73766961828337,9.56036323983454,8.84246002419529,9.33653239721394,7.62900388965296,8.94180711836316
"24",9.28683834294891,7.7596141506969,8.98794653955252,10.2214320631148,7.71957398925958,9.11173476822206,8.51077262361331,6.83410873881384,8.57149196482362,7.00397413672268,8.07930819205196,7.21229446850034,9.09470502837726,8.39298958795693,9.70607266229452,6.49223983502047,9.55824698622306,8.28652137368124,8.9226582995244,8.54090971803355,8.32651683023953
"25",10.3084525356026,8.94036723330517,10.7190735802887,10.7881431280367,7.08086789669078,10.6679548943421,9.69332192251218,8.80387476353443,10.4788641973616,8.91018077801329,8.43988008831357,8.36170828857584,10.0288418536888,9.02977726819709,10.7194937530079,6.16961073249146,9.49333648243725,8.36474106822456,9.46931428029122,10.0588232442451,10.3005171818232
"26",8.95014375645926,6.03068526026126,8.2398574110186,8.34212526333359,7.59186171488993,8.44612674298238,7.93987157636188,6.96602418710611,8.25582842728183,7.16006920759613,8.22817689595132,6.03068526026126,7.92696354486298,7.57507169950756,9.46815584482167,5.35185813347607,8.90231952852887,7.21303165983487,7.86672228513673,7.42773884053289,8.00670084544037
"27",9.00023643416978,7.53849499941346,8.53346016388011,9.25282498358234,6.94312242281943,8.48879371689454,7.15070145759253,6.93731408122368,9.02364928266429,7.88306935130575,7.14124512235049,7.05531284333975,8.10591119798651,7.88645727097769,9.21492982430999,4.89034912822175,6.73578001424233,8.47803647621504,7.22548147278229,8.96251983294953,8.3187422526924
